,question,VVD,D66,GroenLinks,CDA,PvdA,Haagse Stadspartij,Partij voor de Dieren,PVV,ChristenUnie/SGP,SP,50PLUS,LEF - voor de Nieuwe Generatie,DENK,Kandidatenlijst (Roopram),Haags Belang,Blanco,Kandidatenlijst (Ramdhani),Nationale Bond tegen overheidszaken - DH,Forum voor Democratie,INL-Den Haag,Hart voor Den Haag/Groep de Mos
0,"Wie een woning in onze gemeente koopt, moet daar zelf in gaan wonen.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0
1,De parkeertarieven mogen omhoog in Den Haag.,-1,1,1,-1,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,De gemeente Den Haag moet ernaar streven om al in 2030 klimaatneutraal te zijn.,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,1,-1,0,-1,-1,0,-1
3,De gemeente moet werklozen boven de 50 vrijstellen van de sollicitatieplicht.,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,0,1,-1,-1,-1
4,De gemeente moet de strenge milieuregels voor touringcars in het centrum weer terugdraaien.,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,1,1
5,De hoogte van gemeentelijke boetes moet afhankelijk worden van het inkomen.,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,0,-1,-1,-1,-1
6,Leraren moeten voorrang kunnen krijgen bij het toewijzen van een huurwoning.,1,1,-1,1,1,-1,-1,-1,1,1,1,0,1,1,1,1,-1,-1,0,-1,1
7,In Den Haag moet meer cameratoezicht komen.,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,0,-1,-1,1,1
8,De gemeente moet het gebruik van open haarden en houtkachels blijven toestaan.,1,1,-1,1,0,0,-1,1,1,1,-1,-1,1,1,1,1,0,1,1,0,1
9,Alle inwoners moeten gratis met het openbaar vervoer kunnen in Den Haag.,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1
10,De prostitutie moet weg uit de Doubletstraat en de Geleenstraat.,1,-1,-1,1,0,-1,-1,-1,1,-1,0,0,1,-1,1,0,0,-1,1,1,1
11,De Haagse zorgverzekering voor mensen met een laag inkomen moet de tandarts geheel gaan vergoeden.,-1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1
12,Den Haag moet het kraken van panden gedogen.,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1
13,Het centrum van Den Haag moet ook met de auto goed bereikbaar blijven.,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1
14,"Mensen die een bijstandsuitkering krijgen, moeten in ruil daarvoor maatschappelijk zinvol werk doen.",1,-1,-1,1,-1,-1,-1,0,1,-1,1,-1,-1,1,-1,1,0,1,1,-1,1
15,Den Haag moet het afsteken van vuurwerk verbieden.,-1,1,1,-1,1,0,1,-1,1,-1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1
16,Den Haag moet een islamitische begraafplaats met eeuwige grafrust krijgen.,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,0,-1,-1,-1,-1
17,Er moeten in Den Haag meer gebieden komen waar een blowverbod geldt.,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,0
18,De gemeente moet weigeren om het tekort van cultuurpaleis Amare (Spuiplein) te betalen.,1,-1,-1,1,0,0,1,1,1,1,1,-1,1,0,1,1,1,1,1,0,1
19,De gemeente moet buitenlandse seizoenarbeiders huisvesten in leegstaande gebouwen.,-1,1,1,-1,0,0,1,-1,1,-1,-1,1,1,-1,1,1,0,1,-1,-1,-1
20,Den Haag moet de hondenbelasting afschaffen.,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,0,1,1,1,1
21,Haagse horecaondernemers moeten de vrijheid krijgen om zelf hun openings- en sluitingstijden te bepalen.,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,0,1,1,-1,0
22,"Iedereen die in Den Haag een woning wil verhuren, moet daar voortaan een vergunning voor aanvragen.",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,0
23,De inwoners van Den Haag moeten over belangrijke onderwerpen hun mening kunnen geven via een referendum.,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,De gemeente moet geen opvang bieden aan uitgeprocedeerde asielzoekers.,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1
25,De gemeente moet tijdelijke woningen laten bouwen voor mensen die met spoed een betaalbare huurwoning nodig hebben.,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1
26,Den Haag moet zich verzetten tegen de komst van een asielzoekerscentrum (azc).,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1
27,De gemeente moet terrasverwarming verbieden.,-1,-1,1,-1,0,1,1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1
28,Er moeten veel meer gesubsidieerde banen komen voor langdurig werklozen.,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,0,-1,-1,-1,0
29,De gemeente moet er bij de EU voor pleiten dat de meeuw zijn status als beschermde diersoort verliest.,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,0,1,1,1,1
