,question,VVD,D66,50PLUS,BIJ1,Volt,Libertaire Partij,JONG,NLBeter,PVV,CDA,GroenLinks,SP,Partij van de Arbeid,ChristenUnie,Partij voor de Dieren,SGP,DENK,Forum voor Democratie,JA21,Code Oranje,NIDA,Piratenpartij,Splinter,BoerBurgerBeweging,Lijst Henk Krol,Oprecht,Jezus Leeft,Trots op Nederland,U-Buntu Connected Front,Lijst30
0,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Nederland moet meer geld uitgeven aan defensie.,1,1,1,-1,1,0,0,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1
2,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,1,-1,0,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1
3,Nederland moet uit de Europese Unie (EU) stappen.,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0
4,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,0,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,0,-1,1,-1,1,-1,0,0,1,1,1,-1
5,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,0,1,-1,1,1,1
6,Er moet een extra belasting komen op het kopen van vlees.,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1
7,Er moet minder geld naar de publieke omroep.,1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1
8,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,-1,-1,-1,1,-1,-1,1,1,0,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1
9,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1
10,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,1,-1,1,-1,1,-1,-1,-1,1,1,-1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1
11,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,-1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
12,Nederland moet een nieuwe kerncentrale bouwen.,1,0,1,-1,1,1,1,0,1,1,-1,-1,-1,0,-1,1,-1,1,1,1,0,0,0,1,1,1,-1,1,-1,0
13,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,-1,1,1,-1,1,0,-1,-1,0,1,0,1,1,1,1,0,1,-1,0,-1,-1,1,1,-1,-1,0,1,-1,1,1
14,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",-1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1
15,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1
16,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1
17,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,0,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,-1
