,parties,votes,percentage,neighborhood
0,D66,430,26.5,archipelbuurt
1,VVD,420,25.9,archipelbuurt
2,Partij,140,8.6,archipelbuurt
3,Volt,106,6.5,archipelbuurt
4,GROENLINKS,90,5.5,archipelbuurt
5,CDA,83,5.1,archipelbuurt
6,P.v.d.A.,72,4.4,archipelbuurt
7,PVV,71,4.4,archipelbuurt
8,Forum,59,3.6,archipelbuurt
9,SP,31,1.9,archipelbuurt
10,JA21,28,1.7,archipelbuurt
11,ChristenUnie,23,1.4,archipelbuurt
12,BIJ1,13,0.8,archipelbuurt
13,DENK,12,0.7,archipelbuurt
14,CODE,8,0.5,archipelbuurt
15,Piratenpartij,6,0.4,archipelbuurt
16,50PLUS,6,0.4,archipelbuurt
17,NIDA,6,0.4,archipelbuurt
18,SGP,5,0.3,archipelbuurt
19,Vrij,5,0.3,archipelbuurt
20,Splinter,3,0.2,archipelbuurt
21,JONG,2,0.1,archipelbuurt
22,LP,2,0.1,archipelbuurt
23,BBB,1,0.1,archipelbuurt
24,Lijst,1,0.1,archipelbuurt
25,NLBeter,0,0.0,archipelbuurt
26,OPRECHT,0,0.0,archipelbuurt
27,Trots,0,0.0,archipelbuurt
28,U-Buntu,0,0.0,archipelbuurt
29,Partij,0,0.0,archipelbuurt
30,D66,3940,24.3,centrum
31,VVD,2379,14.7,centrum
32,GROENLINKS,1720,10.6,centrum
33,Partij,1094,6.7,centrum
34,Volt,1069,6.6,centrum
35,PVV,978,6.0,centrum
36,P.v.d.A.,934,5.8,centrum
37,DENK,713,4.4,centrum
38,SP,648,4.0,centrum
39,CDA,604,3.7,centrum
40,Forum,583,3.6,centrum
41,BIJ1,537,3.3,centrum
42,ChristenUnie,238,1.5,centrum
43,JA21,222,1.4,centrum
44,CODE,159,1.0,centrum
45,NIDA,114,0.7,centrum
46,Piratenpartij,64,0.4,centrum
47,Splinter,59,0.4,centrum
48,50PLUS,48,0.3,centrum
49,SGP,35,0.2,centrum
50,JONG,18,0.1,centrum
51,BBB,13,0.1,centrum
52,Lijst,12,0.1,centrum
53,LP,11,0.1,centrum
54,Vrij,8,0.0,centrum
55,NLBeter,7,0.0,centrum
56,Trots,7,0.0,centrum
57,OPRECHT,6,0.0,centrum
58,U-Buntu,6,0.0,centrum
59,Partij,3,0.0,centrum
60,DENK,330,23.8,groente_en_fruitmarkt
61,PVV,204,14.7,groente_en_fruitmarkt
62,VVD,176,12.7,groente_en_fruitmarkt
63,D66,157,11.3,groente_en_fruitmarkt
64,GROENLINKS,99,7.1,groente_en_fruitmarkt
65,P.v.d.A.,79,5.7,groente_en_fruitmarkt
66,SP,63,4.5,groente_en_fruitmarkt
67,Forum,56,4.0,groente_en_fruitmarkt
68,Partij,32,2.3,groente_en_fruitmarkt
69,CDA,32,2.3,groente_en_fruitmarkt
70,CODE,27,1.9,groente_en_fruitmarkt
71,BIJ1,24,1.7,groente_en_fruitmarkt
72,Volt,23,1.7,groente_en_fruitmarkt
73,NIDA,22,1.6,groente_en_fruitmarkt
74,ChristenUnie,16,1.2,groente_en_fruitmarkt
75,JA21,12,0.9,groente_en_fruitmarkt
76,50PLUS,11,0.8,groente_en_fruitmarkt
77,SGP,8,0.6,groente_en_fruitmarkt
78,Piratenpartij,4,0.3,groente_en_fruitmarkt
79,NLBeter,2,0.1,groente_en_fruitmarkt
80,Trots,2,0.1,groente_en_fruitmarkt
81,JONG,2,0.1,groente_en_fruitmarkt
82,Lijst,2,0.1,groente_en_fruitmarkt
83,OPRECHT,1,0.1,groente_en_fruitmarkt
84,Splinter,1,0.1,groente_en_fruitmarkt
85,Partij,1,0.1,groente_en_fruitmarkt
86,BBB,1,0.1,groente_en_fruitmarkt
87,Vrij,1,0.1,groente_en_fruitmarkt
88,U-Buntu,0,0.0,groente_en_fruitmarkt
89,LP,0,0.0,groente_en_fruitmarkt
90,DENK,3845,45.0,schildersbuurt
91,VVD,753,8.8,schildersbuurt
92,D66,582,6.8,schildersbuurt
93,GROENLINKS,558,6.5,schildersbuurt
94,PVV,556,6.5,schildersbuurt
95,NIDA,542,6.3,schildersbuurt
96,P.v.d.A.,470,5.5,schildersbuurt
97,SP,297,3.5,schildersbuurt
98,Forum,177,2.1,schildersbuurt
99,Partij,168,2.0,schildersbuurt
100,BIJ1,121,1.4,schildersbuurt
101,ChristenUnie,117,1.4,schildersbuurt
102,CDA,111,1.3,schildersbuurt
103,Volt,61,0.7,schildersbuurt
104,CODE,50,0.6,schildersbuurt
105,50PLUS,26,0.3,schildersbuurt
106,Partij,21,0.2,schildersbuurt
107,JA21,21,0.2,schildersbuurt
108,Piratenpartij,20,0.2,schildersbuurt
109,JONG,10,0.1,schildersbuurt
110,Splinter,8,0.1,schildersbuurt
111,SGP,7,0.1,schildersbuurt
112,Lijst,7,0.1,schildersbuurt
113,OPRECHT,5,0.1,schildersbuurt
114,Vrij,5,0.1,schildersbuurt
115,BBB,4,0.0,schildersbuurt
116,U-Buntu,4,0.0,schildersbuurt
117,NLBeter,2,0.0,schildersbuurt
118,LP,2,0.0,schildersbuurt
119,Trots,1,0.0,schildersbuurt
120,D66,1124,20.1,stationsbuurt
121,GROENLINKS,647,11.6,stationsbuurt
122,VVD,628,11.2,stationsbuurt
123,DENK,626,11.2,stationsbuurt
124,PVV,341,6.1,stationsbuurt
125,BIJ1,327,5.8,stationsbuurt
126,Partij,320,5.7,stationsbuurt
127,P.v.d.A.,308,5.5,stationsbuurt
128,Volt,295,5.3,stationsbuurt
129,SP,272,4.9,stationsbuurt
130,Forum,199,3.6,stationsbuurt
