,parties,votes,percentage,neighborhood
0,D66,457,25.2,archipelbuurt
1,VVD,390,21.5,archipelbuurt
2,Partij,187,10.3,archipelbuurt
3,GROENLINKS,141,7.8,archipelbuurt
4,Hart,169,9.3,archipelbuurt
5,CDA,121,6.7,archipelbuurt
6,Partij,116,6.4,archipelbuurt
7,Forum,52,2.9,archipelbuurt
8,Haagse,36,2.0,archipelbuurt
9,SP,46,2.5,archipelbuurt
10,ChristenUnie-SGP,30,1.7,archipelbuurt
11,50PLUS,20,1.1,archipelbuurt
12,PVV,31,1.7,archipelbuurt
13,LEF,10,0.6,archipelbuurt
14,Haags,7,0.4,archipelbuurt
15,Nationale,1,0.1,archipelbuurt
16,DENK,1,0.1,archipelbuurt
17,Blanco,1,0.1,archipelbuurt
18,Blanco,1,0.1,archipelbuurt
19,Blanco,0,0.0,archipelbuurt
20,INL,0,0.0,archipelbuurt
21,D66,2465,19.5,centrum
22,GROENLINKS,1922,15.2,centrum
23,VVD,1364,10.8,centrum
24,Partij,1137,9.0,centrum
25,Haagse,982,7.8,centrum
26,Partij,976,7.7,centrum
27,CDA,667,5.3,centrum
28,Hart,1120,8.9,centrum
29,ChristenUnie-SGP,264,2.1,centrum
30,LEF,167,1.3,centrum
31,PVV,240,1.9,centrum
32,Forum,239,1.9,centrum
33,SP,386,3.1,centrum
34,DENK,318,2.5,centrum
35,Blanco,92,0.7,centrum
36,Blanco,24,0.2,centrum
37,Nationale,14,0.1,centrum
38,Haags,84,0.7,centrum
39,50PLUS,98,0.8,centrum
40,Blanco,10,0.1,centrum
41,INL,50,0.4,centrum
42,DENK,247,34.1,groente_en_fruitmarkt
43,CDA,107,14.8,groente_en_fruitmarkt
44,Hart,79,10.9,groente_en_fruitmarkt
45,D66,40,5.5,groente_en_fruitmarkt
46,Partij,40,5.5,groente_en_fruitmarkt
47,Haagse,40,5.5,groente_en_fruitmarkt
48,Haags,38,5.2,groente_en_fruitmarkt
49,VVD,34,4.7,groente_en_fruitmarkt
50,GROENLINKS,26,3.6,groente_en_fruitmarkt
51,Blanco,22,3.0,groente_en_fruitmarkt
52,SP,12,1.7,groente_en_fruitmarkt
53,Partij,11,1.5,groente_en_fruitmarkt
54,LEF,8,1.1,groente_en_fruitmarkt
55,ChristenUnie-SGP,8,1.1,groente_en_fruitmarkt
56,PVV,6,0.8,groente_en_fruitmarkt
57,Forum,4,0.6,groente_en_fruitmarkt
58,Nationale,2,0.3,groente_en_fruitmarkt
59,50PLUS,1,0.1,groente_en_fruitmarkt
60,Blanco,0,0.0,groente_en_fruitmarkt
61,Blanco,0,0.0,groente_en_fruitmarkt
62,INL,0,0.0,groente_en_fruitmarkt
63,DENK,2196,35.1,schildersbuurt
64,Blanco,315,5.0,schildersbuurt
65,CDA,679,10.9,schildersbuurt
66,Partij,471,7.5,schildersbuurt
67,Hart,383,6.1,schildersbuurt
68,D66,324,5.2,schildersbuurt
69,GROENLINKS,351,5.6,schildersbuurt
70,Haagse,248,4.0,schildersbuurt
71,Partij,183,2.9,schildersbuurt
72,VVD,273,4.4,schildersbuurt
73,PVV,113,1.8,schildersbuurt
74,SP,115,1.8,schildersbuurt
75,Forum,55,0.9,schildersbuurt
76,Haags,373,6.0,schildersbuurt
77,ChristenUnie-SGP,81,1.3,schildersbuurt
78,50PLUS,25,0.4,schildersbuurt
79,Nationale,5,0.1,schildersbuurt
80,LEF,23,0.4,schildersbuurt
81,Blanco,10,0.2,schildersbuurt
82,Blanco,4,0.1,schildersbuurt
83,INL,25,0.4,schildersbuurt
84,D66,719,16.0,stationsbuurt
85,DENK,259,5.8,stationsbuurt
86,GROENLINKS,793,17.7,stationsbuurt
87,Partij,381,8.5,stationsbuurt
88,Partij,341,7.6,stationsbuurt
89,Haags,60,1.3,stationsbuurt
90,Haagse,336,7.5,stationsbuurt
91,VVD,334,7.4,stationsbuurt
92,CDA,225,5.0,stationsbuurt
93,SP,170,3.8,stationsbuurt
94,Hart,368,8.2,stationsbuurt
95,Forum,99,2.2,stationsbuurt
96,LEF,81,1.8,stationsbuurt
97,ChristenUnie-SGP,103,2.3,stationsbuurt
98,Blanco,45,1.0,stationsbuurt
99,Nationale,13,0.3,stationsbuurt
100,50PLUS,28,0.6,stationsbuurt
101,PVV,92,2.0,stationsbuurt
102,Blanco,16,0.4,stationsbuurt
103,Blanco,3,0.1,stationsbuurt
104,INL,25,0.6,stationsbuurt
105,DENK,1709,32.6,transvaalkwartier
106,Hart,418,8.0,transvaalkwartier
107,Partij,475,9.0,transvaalkwartier
108,CDA,568,10.8,transvaalkwartier
109,GROENLINKS,243,4.6,transvaalkwartier
110,D66,173,3.3,transvaalkwartier
111,VVD,276,5.3,transvaalkwartier
112,Haagse,178,3.4,transvaalkwartier
113,Haags,383,7.3,transvaalkwartier
114,Partij,107,2.0,transvaalkwartier
115,Blanco,312,5.9,transvaalkwartier
116,SP,101,1.9,transvaalkwartier
117,Forum,62,1.2,transvaalkwartier
118,ChristenUnie-SGP,49,0.9,transvaalkwartier
119,PVV,105,2.0,transvaalkwartier
120,LEF,16,0.3,transvaalkwartier
121,50PLUS,30,0.6,transvaalkwartier
122,Nationale,11,0.2,transvaalkwartier
123,Blanco,22,0.4,transvaalkwartier
124,Blanco,4,0.1,transvaalkwartier
125,INL,7,0.1,transvaalkwartier
126,D66,506,25.9,willemspark
127,GROENLINKS,229,11.7,willemspark
128,VVD,406,20.8,willemspark
129,Partij,189,9.7,willemspark
130,CDA,93,4.8,willemspark
131,Hart,174,8.9,willemspark
132,ChristenUnie-SGP,45,2.3,willemspark
133,Blanco,14,0.7,willemspark
